AX,AY,AZ
-0.115991242,0.001194011,-89.15652559
-0.117472498,0.001138475,-90.28472257
-0.11896157,0.001081179,-91.29913118
-0.120458353,0.00102209,-92.20277797
-0.121962739,0.000961177,-93.00162609
-0.123474623,0.00089841,-93.70116655
-0.124993895,0.000833758,-94.30349935
-0.126520448,0.00076719,-94.80635373
-0.128054172,0.000698673,-95.20431279
-0.129594961,0.000628171,-95.49173239
-0.131142707,0.00055565,-95.66608856
-0.132697305,0.000481074,-95.72973291
-0.134258648,0.000404408,-95.68868835
-0.135826628,0.000325614,-95.54952613
-0.137401134,0.000244655,-95.3166919
-0.138982051,0.000161488,-94.99170972
-0.140569263,7.60737E-05,-94.57381479
-0.142162647,-1.16323E-05,-94.06066787
-0.143762081,-0.000101675,-93.44923296
-0.14536744,-0.000194101,-92.73759401
-0.146978592,-0.000288958,-91.92658776
-0.148595406,-0.000386295,-91.01986508
-0.150217743,-0.000486159,-90.02325819
-0.151845461,-0.000588597,-88.94488275
-0.153478413,-0.000693659,-87.79550532
-0.155116448,-0.000801393,-86.58750236
-0.156759409,-0.000911851,-85.33190065
-0.158407135,-0.001025085,-84.03525433
-0.160059458,-0.001141145,-82.69882847
-0.161716202,-0.001260083,-81.32068112
-0.163377187,-0.001381948,-79.89892916
-0.165042224,-0.001506788,-78.43387111
-0.166711121,-0.001634651,-76.92749737
-0.168383675,-0.001765582,-75.38065299
-0.170059681,-0.001899629,-73.79015973
-0.171738925,-0.002036833,-72.14867322
-0.173421188,-0.00217724,-70.44760184
-0.175106249,-0.002320892,-68.68012768
-0.17679388,-0.002467831,-66.84136988
-0.17848385,-0.002618101,-64.92652723
-0.180175923,-0.002771746,-62.93038835
-0.181869858,-0.002928807,-60.84949536
-0.183565409,-0.003089327,-58.68459334
-0.185262328,-0.003253347,-56.4406916
-0.18696036,-0.00342091,-54.12532875
-0.188659246,-0.003592057,-51.7473073
-0.190358721,-0.003766835,-49.31608135
-0.192058514,-0.00394529,-46.84067487
-0.193758348,-0.00412747,-44.32872238
-0.195457942,-0.004313422,-41.78712227
-0.197157007,-0.004503195,-39.22336356
-0.19885525,-0.004696835,-36.64485239
-0.200552373,-0.00489439,-34.05638113
-0.202248072,-0.005095903,-31.45920986
-0.203942037,-0.005301423,-28.85374042
-0.205633953,-0.005510992,-26.24351708
-0.207323494,-0.005724655,-23.63673711
-0.209010326,-0.005942451,-21.04402598
